numcode,description,alphacode
1,Primary Solid Tumor,TP
2,Recurrent Solid Tumor,TR
3,Primary Blood Derived Cancer - Peripheral Blood,TB
4,Recurrent Blood Derived Cancer - Bone Marrow,TRBM
5,Additional - New Primary,TAP
6,Metastatic,TM
7,Additional Metastatic,TAM
8,Human Tumor Original Cells,THOC
9,Primary Blood Derived Cancer - Bone Marrow,TBM
10,Blood Derived Normal,NB
11,Solid Tissue Normal,NT
12,Buccal Cell Normal,NBC
13,EBV Immortalized Normal,NEBV
14,Bone Marrow Normal,NBM
15,sample type 15,15SH
16,sample type 16,16SH
20,Control Analyte,CELLC
40,Recurrent Blood Derived Cancer - Peripheral Blood,TRB
50,Cell Lines,CELL
60,Primary Xenograft Tissue,XP
61,Cell Line Derived Xenograft Tissue,XCL
99,sample type 99,99SH